DEPT;SP;RHOZ;PEFZ;AT90;DTCO;Zones
1921.5;-29.71679878;2.262296915;2.457006931;6.445501328;88.1876297;4
1922;-32.23794174;2.295305252;2.581902981;5.39119339;87.43001556;4
1922.5;-30.06475639;2.336749554;2.559853077;5.366696358;84.39968109;4
1923;-22.65457535;2.399075031;2.572363615;4.371466637;83.81249237;4
1923.5;-16.19257927;2.410198927;2.707601547;3.478538752;88.41164398;4
1924;-10.52594471;2.396916628;2.70247674;3.084852457;95.78767395;4
1924.5;-6.249048233;2.35330534;2.88484025;1.672456503;99.7359314;4
1925;-5.882642746;2.360130072;2.906625271;1.765951514;98.36389923;4
1925.5;-5.546306133;2.392600775;3.021750689;1.469495773;95.15412903;4
1926;-5.663598061;2.409367085;2.928648949;1.388460755;92.92518616;4
1926.5;-7.060202122;2.41904974;2.755112171;1.716079712;90.53585815;4
1927;-17.83837128;2.363351107;2.612561703;2.856033564;85.40359497;4
1927.5;-22.76343918;2.474595785;2.912421942;5.017598629;74.3965683;4
1928;-31.21727562;2.56116724;3.319597244;12.07570362;71.83670044;4
1928.5;-37.39554596;2.357787371;2.700358152;5.319400787;72.05987549;4
1929;-33.47421265;2.413033009;2.743581772;5.797280788;83.54946137;4
1929.5;-9.210184097;2.318264008;2.687730551;1.711348295;90.36162567;4
1930;-6.308817387;2.387642622;2.7516253;1.477222085;95.90987396;4
1930.5;-5.912472725;2.410844326;2.922665119;1.488048077;94.30386353;4
1931;-5.383656025;2.403517008;2.93365407;1.419319153;95.40457916;4
1931.5;-5.175981998;2.392421007;3.009231091;1.388711453;98.66213989;4
1932;-4.726729393;2.389923573;2.95226264;1.230191946;96.96343231;4
1932.5;-5.320993423;2.385087252;2.862168074;1.289285779;95.62763214;4
1933;-4.849318027;2.364859581;2.862332106;1.177589178;96.5413208;4
1933.5;-7.441877365;2.300841808;2.86763525;1.747853518;97.94148254;4
1934;-6.467799187;2.334395886;2.828820229;2.095531464;96.34012604;4
1934.5;-6.653022766;2.341188431;2.853462219;1.897919774;93.49248505;4
