DEPTH,GR,SP,RES,zonas,VSH_Linear,VSH_Clavier,VSH_Resistividad,VSH_Promedio
2109.0,82.41,-2.32,2.61,Zona 4,0.40963381814883126,0.23415117095232274,0.7183403928108527,0.4540417939706689
2110.0,80.64,-0.58,2.54,Zona 4,0.30259139427292814,0.1589579836585031,0.7343336994055982,0.3986276924456765
2111.0,80.63,-3.21,2.72,Zona 4,0.3019866348160018,0.15856470014142188,0.6940548479959888,0.3848687276511375
2112.0,86.38,-8.35,2.76,Zona 4,0.6497233225484562,0.4517023782091243,0.6854665352584877,0.5956307453386894
2113.0,89.22,-7.88,2.52,Zona 4,0.8214750083154426,0.6679564936149622,0.7389842293495061,0.7428052437599705
2114.0,82.71,0.1,2.24,Zona 4,0.4277766018566113,0.2480633841986235,0.8082746905859014,0.4947048922137121
2115.0,81.74,-1.55,3.0,Zona 4,0.3691149345347886,0.20434186501237028,0.6364140540601354,0.4032902845357647
2116.0,83.45,-0.48,2.63,Zona 4,0.4725288016691364,0.2839575538648782,0.7138496154746614,0.4901119903362254
2117.0,85.08,-2.0,2.64,Zona 4,0.5711045931480754,0.3717330414115294,0.7116170170671714,0.551484883875592
2118.0,83.87,0.0,2.4,Zona 4,0.49792869886002883,0.30537932309623406,0.7676869449847367,0.5236649889803332
2119.0,84.91,-1.45,2.42,Zona 4,0.5608236823803332,0.36197023876563317,0.7628048507889504,0.561866257311639
2120.0,90.24,-0.88,1.83,Zona 4,0.8831604729218951,0.7653327239184409,0.9272031302214917,0.8585654423539425
2121.0,84.31,0.0,2.17,Zona 4,0.5245381149647731,0.328684425451778,0.8269520997527896,0.5600582133897802
2122.0,81.37,-1.2,3.08,Zona 4,0.3467388346285269,0.18859740238396006,0.6209318717437349,0.38542270291874065
2123.0,83.74,0.17,2.16,Zona 4,0.4900668259199902,0.2986645833902861,0.8296693746729426,0.5394669279944063
2124.0,85.89,-5.23,2.58,Zona 4,0.6200901091590821,0.42040549247022696,0.725141497163262,0.5885456995975237
2125.0,84.2,-8.82,2.9,Zona 4,0.517885760938587,0.32277297684694006,0.6563579631226468,0.4990055669693913
2126.0,83.72,-7.06,3.25,Zona 4,0.4888573070061384,0.29763831213979874,0.5893258116625665,0.45860714360283455
2127.0,84.76,0.0,2.51,Zona 4,0.5517522905264436,0.35347996555498584,0.7413233536014343,0.5488518698942879
2128.0,84.51,-3.13,2.84,Zona 4,0.5366333041032934,0.33958165581958877,0.6686571352910429,0.5149573650713083
2129.0,86.09,-10.15,3.31,Zona 4,0.6321852982976025,0.43300263181026,0.5785641278880583,0.5479173526653071
2130.0,86.36,-0.84,2.55,Zona 4,0.6485138036346044,0.4503958541174202,0.7320221483989379,0.6103106020503208
2131.0,84.01,-3.27,3.0,Zona 4,0.506395331256993,0.3126967509872509,0.6364140540601354,0.4851687121014598
2132.0,84.06,0.0,2.68,Zona 4,0.5094191285416229,0.3153320356426159,0.7027703996167161,0.5091738546003183
2133.0,79.42,-20.93,8.06,Zona 4,0.22881074052795525,0.11339651825671582,0.05500731489566531,0.13240485789344544
2134.0,79.97,-1.12,2.94,Zona 4,0.2620725106588855,0.1333422568300029,0.6482990840260697,0.34790461717165266
2135.0,84.63,-3.76,3.15,Zona 4,0.5438904175864049,0.34621396482430833,0.6077113384249049,0.499271906945206
2136.0,82.8,-2.14,3.25,Zona 4,0.43321943696894555,0.2523074540235464,0.5893258116625665,0.4249509008850194
