DEPT;AT20;P_IMPEDANCE;S_IMPEDANCE;Vp/Vs;Zones;GRAN
1805.5;0.146871269;6858.861816;3208.101074;2.135000229;0;401
1805.75;0;6831.613281;3181.734375;2.200000048;0;401
1806;0.026758542;6804.365234;3155.36792;2.15500021;0;401
1806.25;0.06245454;6996.244629;3221.003906;2.158750057;0;401
1806.5;0.009729861;7188.124023;3286.639893;2.191250086;0;401
1806.75;0;6637.575195;2998.824951;2.173750162;0;401
1807;0;6087.026856;2711.01001;2.244999886;0;401
1807.25;0;6089.430664;2839.354004;2.192857266;0;401
1807.5;0.277947068;6091.833984;2967.697998;2.054999828;0;401
1807.75;0.958548725;6509.444336;3200.55957;2.017499924;0;401
1808;0.303212225;6927.055176;3433.420898;2.019999981;0;401
1808.25;0;6722.183106;3323.993408;2.022857189;0;401
1808.5;0;6517.311035;3214.565918;2.023750067;0;401
1808.75;0.019051492;6406.625;3241.123535;1.972500086;0;401
1809;0.412032068;6295.938965;3267.680908;1.928571343;0;401
1809.25;0.86830169;6497.407227;3431.666504;1.871428609;0;401
1809.5;1.063955307;6698.875;3595.6521;1.865714312;0;402
1809.75;2.120954514;6764.976074;3650.387695;1.840000033;0;402
1810;1.768564582;6831.077148;3705.123047;1.842857122;0;402
1810.25;0.492479742;6745.25;3577.401856;1.892857075;0;402
1810.5;0.107219279;6659.422852;3449.680908;1.929999948;0;402
1810.75;0;6639.538086;3387.871582;2.017499924;0;402
1811;0.007453466;6619.652832;3326.062012;1.99000001;0;402
1811.25;0.363785714;7148.959473;3682.901856;1.962857127;0;402
1811.5;0.581927717;7678.266113;4039.741943;1.899999976;0;403
1811.75;0.554381788;7745.529297;4001.552002;1.92750001;0;403
1812;0.332218826;7812.792969;3963.362061;1.975000024;0;403
1812.25;0.085740782;7320.725098;3608.68457;2.052857161;0;403
1812.5;0;6828.657227;3254.00708;2.102499962;0;403
1812.75;0;6666.724121;3166.963379;2.122499943;0;403
1813;0;6504.791016;3079.919922;2.109999895;0;403
1813.25;0;6880.272949;3320.138916;2.119999886;0;403
1813.5;0.059779719;7255.754883;3560.35791;2.042500019;0;402
1813.75;0.076315835;7264.166992;3444.878418;2.069999933;0;402
1814;0.005422379;7272.579102;3329.398926;2.182500124;0;401
1814.25;0;6617.336914;3048.429443;2.099999905;0;401
1814.5;0;5962.094238;2767.459961;2.15625;0;401
1814.75;0;6143.00293;2921.711914;2.119999886;0;401
1815;0.116966993;6323.911133;3075.964111;2.058749914;0;401
1815.25;0.51058507;6872.205566;3428.662109;2.03285718;0;401
1815.5;0.953038037;7420.5;3781.360107;1.960000038;0;401
1815.75;1.549916625;7695.488281;4069.225098;1.875;0;401
1816;3.092533112;7970.476074;4357.089844;1.830000043;0;401
1816.25;3.811403275;7661.727539;4184.003906;1.830000043;0;401
1816.5;4.539982796;7352.979004;4010.917969;1.831428647;0;401
1816.75;4.714458466;7432.495606;3978.975098;1.860000014;0;401
1817;4.434495926;7512.012207;3947.031982;1.901250005;0;401
1817.25;4.142279148;8062.152344;4240.181152;1.929999948;0;402
1817.5;4.503414154;8612.292969;4533.330078;1.898571372;0;402
1817.75;4.303330421;8614.767578;4715.448242;1.809999943;0;403
1818;3.105510712;8617.241211;4897.566895;1.757499933;0;403
1818.25;2.683831692;8681.224609;4891.157227;1.75;0;403
1818.5;2.808692217;8745.207031;4884.748047;1.787142873;0;404
1818.75;2.725057364;9085.667969;4978.760742;1.811249971;0;404
1819;2.724745274;9426.128906;5072.773926;1.857500076;0;404
1819.25;2.279048443;9025.345703;4868.615234;1.817499995;0;405
1819.5;1.073892117;8624.563477;4664.457031;1.850000024;0;405
1819.75;0.167235896;7486.30957;3867.413574;1.857500076;0;406
1820;0;6348.056152;3070.370117;2.074999809;0;406
1820.25;0;5872.993652;2731.670898;2.157500029;0;405
1820.5;0;5397.931152;2392.971924;2.253750086;0;404
1820.75;0;5599.013184;2511.374512;2.226249933;0;402
1821;0;5800.095215;2629.7771;2.203750134;0;401
1821.25;0;5925.225098;2744.025391;2.181250095;0;401
1821.5;0;6050.354981;2858.273926;2.117499828;0;401
1821.75;0;6061.836914;2952.87793;2.079999924;0;401
1822;0;6073.318848;3047.481934;1.992500067;0;401
1822.25;0.000488046;6126.073242;3135.292969;1.929999948;0;401
1822.5;0.147946715;6178.827148;3223.104004;1.919999957;0;401
1822.75;0.5918051;6319.503906;3314.427979;1.899999976;0;401
1823;1.128412247;6460.180176;3405.751953;1.899999976;0;401
1823.25;1.104651213;6389.658203;3403.426025;1.878571391;0;401
1823.5;1.028717518;6319.136231;3401.100098;1.855714321;0;401
1823.75;1.152664304;6160.068359;3306.837891;1.840000033;0;401
1824;1.192033887;6001;3212.575928;1.870000005;0;401
1824.25;0.9556458;6260.740234;3260.531494;1.882857084;0;401
1824.5;1.352963448;6520.480957;3308.487061;1.972857118;0;401
1824.75;2.102895021;6576.728027;3314.960449;1.99000001;0;401
1825;0.482535303;6632.975098;3321.434082;1.993749976;0;401
1825.25;0;6596.443359;3255.458496;1.992857099;0;401
1825.5;0;6559.911133;3189.48291;2.05571413;0;401
1825.75;0.270439297;6625.797852;3274.996582;2.009999991;0;401
1826;0.529083788;6691.685059;3360.51001;1.992500067;0;401
1826.25;0.276450336;6660.802734;3269.121582;2.045000076;0;401
1826.5;0.095227599;6629.919922;3177.73291;2.087142706;0;401
1826.75;0;6292.494141;2977.8125;2.099999905;0;401
1827;0;5955.068848;2777.89209;2.14625001;0;401
1827.25;0;5776.605957;2672.738525;2.162500143;0;401
1827.5;0;5598.143066;2567.584961;2.180000067;0;401
1827.75;0.017611187;5601.96875;2607.467041;2.164999962;0;401
1828;0.006337282;5605.794922;2647.349121;2.114999771;0;401
1828.25;0;5723.053711;2723.749023;2.087499857;0;401
1828.5;0;5840.312988;2800.148926;2.079999924;0;401
1828.75;0;5865.675781;2761.364014;2.119999886;0;401
1829;0;5891.038086;2722.579102;2.166249991;0;401
1829.25;0;5771.585449;2637.769043;2.217499971;0;401
1829.5;0;5652.132813;2552.958984;2.21714282;0;401
1829.75;0.007908001;6160.649902;2867.408936;2.210000038;0;401
1830;0.190864146;6669.166992;3181.858887;2.095000029;0;401
1830.25;0.22489737;7108.638672;3511.502441;2;0;401
1830.5;0.460980475;7548.109863;3841.145996;1.964285731;0;401
1830.75;0.678821385;7823.50293;3999.9375;1.995000005;0;401
1831;0.672741056;8098.895996;4158.729004;1.947499991;0;401
1831.25;0.820284724;8400.706055;4216.46582;1.947142839;0;401
1831.5;0.870571017;8702.515625;4274.203125;2.03285718;0;401
1831.75;0.627478778;8505.347656;4146.897949;2.097142696;0;401
1832;0.552125871;8308.180664;4019.593018;2.069999933;0;401
1832.25;0.271121502;7443.48877;3538.919434;2.170000076;0;401
1832.5;0.015560098;6578.796875;3058.246094;2.150000095;0;401
1832.75;0;6499.796875;2993.458008;2.167142868;0;401
1833;0.151955381;6420.796875;2928.669922;2.196249962;0;401
1833.25;0.418877065;6802.235352;3151.477051;2.126250029;0;401
1833.5;0.503462613;7183.673828;3374.283936;2.127142906;0;401
1833.75;0.076642662;6683.367188;3070.32959;2.200000048;0;401
1834;0;6183.060059;2766.375;2.237499952;0;401
1834.25;0;6106.942383;2657.353516;2.355000019;0;401
1834.5;0;6030.825195;2548.332031;2.36500001;0;401
1834.75;0;6170.670898;2688.682129;2.241250038;0;401
1835;0.011248817;6310.51709;2829.031982;2.232500076;0;401
1835.25;0.098099247;6524.299805;2976.502441;2.163750172;0;401
1835.5;0.166457236;6738.082031;3123.9729;2.160000086;0;401
1835.75;0.315700203;6903.561523;3241.213379;2.109999895;0;401
1836;0.288821697;7069.041016;3358.454102;2.105000019;0;401
